"waybill_no";"org_code";"org_name";"next_org_code";"next_org_name"
"YT4493520952510";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4493960811369";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053872188571";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4494346408146";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053821687707";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053939407772";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4493557059626";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9149781121700";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495735929441";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495579333328";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4493045779027";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053556262877";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495250182027";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150796782092";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495177298777";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4497036328016";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494959251348";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053953138738";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4495253689105";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495475672175";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053600017000";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053925609148";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT9149635650700";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053897409226";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4489649194322";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150645771650";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4496779937182";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494519803894";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4493970528577";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053781223582";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053812539522";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT9149606344228";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053830779519";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4496661750977";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150072914249";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053955862601";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT9149718993273";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4497460961722";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053867961613";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053807306791";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053934852198";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4497082984982";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9149846162228";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150534000146";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053905643066";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT9150098645322";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053875685613";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4494483988800";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495054524513";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494444191922";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494773479153";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4490862994914";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053952431029";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4494123886340";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495706007811";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT3119187809566";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053779409752";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053936058200";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053814590011";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT9147696198362";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495219720123";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9150299926216";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494942601022";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053942330310";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4495620398598";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4496120508429";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495785694966";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9142322787588";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494226365711";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053621683983";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4494036464133";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053880897119";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4497121443836";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494973531311";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4497121469048";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053793241454";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053652605403";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT9150297739223";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053935026431";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT2053809245913";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4496363269522";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495479151534";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053955896831";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4495457686123";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT9142356203671";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4496413416326";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4495296468505";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494217282631";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT2053852679565";"744833";"湖南省张家界市武陵源区";"744001";"湖南省张家界市"
"YT4490718875213";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4490282632077";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
"YT4494954635422";"744833";"湖南省张家界市武陵源区";"744833";"湖南省张家界市武陵源区"
